                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.77734,                0.59034,                   1.22,                0.77697,                0.80682,                0.77712,                0.50311,                 1.5353,                 1.1259,                 2.0094,               0.001486,               0.001486,               0.001486
                     89,                0.77559,                0.57981,                 1.2152,                0.77916,                0.80436,                0.77966,                0.50518,                 1.5352,                 1.1257,                   2.01,               0.001387,               0.001387,               0.001387
                     90,                0.76482,                0.57972,                 1.2114,                0.77275,                0.80757,                0.77939,                0.50503,                 1.5354,                 1.1246,                 2.0105,               0.001288,               0.001288,               0.001288
                     91,                0.71607,                0.43987,                 1.2042,                0.77777,                0.79878,                0.77795,                0.50541,                 1.5364,                 1.1236,                 2.0124,               0.001189,               0.001189,               0.001189
                     92,                0.70686,                0.42046,                  1.198,                0.78512,                0.80183,                0.78771,                 0.5124,                 1.5368,                 1.1211,                  2.013,                0.00109,                0.00109,                0.00109
                     93,                0.69835,                 0.4137,                 1.1871,                0.78593,                0.80243,                0.79277,                0.51714,                 1.5375,                 1.1178,                 2.0152,               0.000991,               0.000991,               0.000991
                     94,                0.69459,                0.40807,                 1.1878,                0.78316,                0.80419,                0.79473,                0.51922,                 1.5368,                 1.1143,                 2.0153,               0.000892,               0.000892,               0.000892
                     95,                0.68323,                0.40223,                 1.1791,                0.76581,                0.80942,                0.78997,                0.51829,                 1.5369,                 1.1124,                 2.0164,               0.000793,               0.000793,               0.000793
                     96,                0.67652,                0.39603,                 1.1723,                0.76846,                0.81017,                0.80083,                0.52845,                  1.537,                 1.1103,                 2.0176,               0.000694,               0.000694,               0.000694
                     97,                0.67432,                0.39194,                 1.1709,                0.77002,                0.80939,                 0.8014,                0.52816,                 1.5374,                 1.1095,                 2.0188,               0.000595,               0.000595,               0.000595
                     98,                0.67121,                0.38843,                 1.1664,                0.77088,                0.80905,                0.80161,                0.52945,                 1.5377,                 1.1086,                 2.0201,               0.000496,               0.000496,               0.000496
                     99,                0.66139,                0.38265,                 1.1579,                0.77219,                0.81102,                0.80278,                0.53025,                 1.5379,                 1.1071,                 2.0208,               0.000397,               0.000397,               0.000397
                    100,                 0.6617,                 0.3795,                 1.1572,                0.77235,                 0.8109,                0.80319,                0.53147,                 1.5378,                 1.1063,                 2.0217,               0.000298,               0.000298,               0.000298
